in update mr0: q=0.50, mr0=0.88, mult0=0.06, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.84, mult0=0.08, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.80, mult0=0.10, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.76, mult0=0.12, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.74, mult0=0.13, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.72, mult0=0.14, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.71, mult0=0.14, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.70, mult0=0.15, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.69, mult0=0.15, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.68, mult0=0.16, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.68, mult0=0.16, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.67, mult0=0.16, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.68, mult0=0.16, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.68, mult0=0.16, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.68, mult0=0.16, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.66, mult0=0.17, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.66, mult0=0.17, mr1=0.0000, mult1=0.0000, reg accs cnt=0
in update mr0: q=0.50, mr0=0.65, mult0=0.17, mr1=0.0000, mult1=0.0000, reg accs cnt=0
advertising
in update mr0: q=0.50, mr0=0.93, mult0=0.03, mr1=0.0010, mult1=0.0005, reg accs cnt=326
in update mr0: q=0.21, mr0=0.92, mult0=0.07, mr1=0.0010, mult1=0.0002, reg accs cnt=685
in update mr1: q=0.22, mr0=0.92, mult0=0.07, mr1=0.0008, mult1=0.0002, reg accs cnt=1000
in update mr0: q=0.22, mr0=0.90, mult0=0.08, mr1=0.0008, mult1=0.0002, reg accs cnt=1085
in update mr0: q=0.23, mr0=0.88, mult0=0.09, mr1=0.0008, mult1=0.0002, reg accs cnt=1503
in update mr0: q=0.23, mr0=0.87, mult0=0.10, mr1=0.0008, mult1=0.0002, reg accs cnt=1903
in update mr1: q=0.23, mr0=0.87, mult0=0.10, mr1=0.0006, mult1=0.0001, reg accs cnt=2000
in update mr0: q=0.22, mr0=0.85, mult0=0.11, mr1=0.0006, mult1=0.0001, reg accs cnt=2220
in update mr0: q=0.22, mr0=0.84, mult0=0.12, mr1=0.0006, mult1=0.0001, reg accs cnt=2609
